,id,shortDescription,merchantId,gender,merchandiseLabel,merchandiseLabelField,isCustomizable,availableSizes,stockTotal,url,promotionLabel,type,brand.id,brand.name,images.cutOut,images.model,images.all,priceInfo.formattedFinalPrice,priceInfo.formattedInitialPrice,priceInfo.finalPrice,priceInfo.initialPrice,priceInfo.currencyCode,priceInfo.isOnSale,priceInfo.discountLabel,priceInfo.installmentsLabel,properties.rankingTrackingId,properties.isLimoncello
125,18514808,Action low-top sneakers,14449,women,,NoTag,False,,482,/ge/shopping/women/autry-action-low-top-sneakers-item-18514808.aspx?storeid=14449,,Product,15615986,Autry,https://cdn-images.farfetch-contents.com/18/51/48/08/18514808_41002746_480.jpg,https://cdn-images.farfetch-contents.com/18/51/48/08/18514808_41003771_480.jpg,,$189,$189,189.0,189.0,USD,False,,,FiPGpJA9XW+0nL,
126,12151380,x PLAY Converse Chuck Taylor All Star '70 Low sneakers,10222,unisex,,NoTag,False,,3239,/ge/shopping/women/comme-des-garcons-play-x-converse-x-play-converse-chuck-taylor-all-star-70-low-sneakers-item-12151380.aspx?storeid=10222,,Product,15429159,Comme Des Garçons Play x Converse,https://cdn-images.farfetch-contents.com/12/15/13/80/12151380_41472877_480.jpg,https://cdn-images.farfetch-contents.com/12/15/13/80/12151380_41472876_480.jpg,,$139,$139,139.0,139.0,USD,False,,,FiPGpJA9XW+0nL,
127,18958212,x Nike Air Max 97 Nomad low-top sneakers ,13537,unisex,,NoTag,False,,158,/ge/shopping/men/comme-des-garcons-homme-plus-x-nike-air-max-97-nomad-low-top-sneakers-item-18958212.aspx?storeid=13537,,Product,413452,Comme Des Garçons Homme Plus,https://cdn-images.farfetch-contents.com/18/95/82/12/18958212_41936811_480.jpg,https://cdn-images.farfetch-contents.com/18/95/82/12/18958212_41936809_480.jpg,,$390,$390,390.0,390.0,USD,False,,,FiPGpJA9XW+0nL,
128,16573631,Marathon Runner low-top sneakers,11529,women,Conscious,NoTag,False,,396,/ge/shopping/women/axel-arigato-marathon-runner-low-top-sneakers-item-16573631.aspx?storeid=11529,,Product,6310904,Axel Arigato,https://cdn-images.farfetch-contents.com/16/57/36/31/16573631_34125082_480.jpg,https://cdn-images.farfetch-contents.com/16/57/36/31/16573631_34125084_480.jpg,,$270,$270,270.0,270.0,USD,False,,,FiPGpJA9XW+0nL,
129,15970745,medium The Jacquard Tote bag,11696,women,,NoTag,False,"[{'scaleId': 14, 'size': 'One Size'}]",33,/ge/shopping/women/marc-jacobs-medium-the-jacquard-tote-bag-item-15970745.aspx?storeid=11696,,Product,2762,Marc Jacobs,https://cdn-images.farfetch-contents.com/15/97/07/45/15970745_30026267_480.jpg,https://cdn-images.farfetch-contents.com/15/97/07/45/15970745_30026268_480.jpg,,$348,$348,348.0,348.0,USD,False,,,FiPGpJA9XW+0nL,
130,15679788,side logo sneakers,13537,women,,NoTag,False,,663,/ge/shopping/women/autry-side-logo-sneakers-item-15679788.aspx?storeid=13537,,Product,15615986,Autry,https://cdn-images.farfetch-contents.com/15/67/97/88/15679788_28595143_480.jpg,https://cdn-images.farfetch-contents.com/15/67/97/88/15679788_28595144_480.jpg,,$188,$188,188.0,188.0,USD,False,,,FiPGpJA9XW+0nL,
131,17744789, Dunk Low sneakers,11218,women,New Season,NewSeason,False,,115,/ge/shopping/women/nike-dunk-low-sneakers-item-17744789.aspx?storeid=11218,,Product,1664,Nike,https://cdn-images.farfetch-contents.com/17/74/47/89/17744789_37240451_480.jpg,https://cdn-images.farfetch-contents.com/17/74/47/89/17744789_37241650_480.jpg,,$234,$234,234.0,234.0,USD,False,,,FiPGpJA9XW+0nL,
132,16244377,small Le Chiquito top-handle bag,13537,women,,NoTag,False,"[{'scaleId': 14, 'size': 'One Size'}]",617,/ge/shopping/women/jacquemus-small-le-chiquito-top-handle-bag-item-16244377.aspx?storeid=13537,,Product,889006,Jacquemus,https://cdn-images.farfetch-contents.com/16/24/43/77/16244377_31026594_480.jpg,https://cdn-images.farfetch-contents.com/16/24/43/77/16244377_31027378_480.jpg,,$673,$673,673.0,673.0,USD,False,,,FiPGpJA9XW+0nL,
133,16071945,panelled lace-up sneakers,9838,men,,NoTag,False,,7526,/ge/shopping/men/maison-margiela-panelled-lace-up-sneakers-item-16071945.aspx?storeid=9838,,Product,4981,Maison Margiela,https://cdn-images.farfetch-contents.com/16/07/19/45/16071945_31303830_480.jpg,https://cdn-images.farfetch-contents.com/16/07/19/45/16071945_31303831_480.jpg,,$464,$464,464.0,464.0,USD,False,,,FiPGpJA9XW+0nL,
134,14093074,Clean 90 low-top sneakers,11529,men,Conscious,NoTag,False,,1015,/ge/shopping/men/axel-arigato-clean-90-low-top-sneakers-item-14093074.aspx?storeid=11529,,Product,6310904,Axel Arigato,https://cdn-images.farfetch-contents.com/14/09/30/74/14093074_36122674_480.jpg,https://cdn-images.farfetch-contents.com/14/09/30/74/14093074_36122675_480.jpg,,$200,$200,200.0,200.0,USD,False,,,FiPGpJA9XW+0nL,
135,19443296,smiley-print organic cotton t-shirt,9948,women,New Season,NewSeason,False,"[{'scaleId': 115, 'size': 'XXS'}, {'scaleId': 115, 'size': 'XS'}, {'scaleId': 115, 'size': 'S'}, {'scaleId': 115, 'size': 'M'}, {'scaleId': 115, 'size': 'L'}, {'scaleId': 115, 'size': 'XL'}]",1109,/ge/shopping/women/ganni-smiley-print-organic-cotton-t-shirt-item-19443296.aspx?storeid=9948,,Product,1511102,GANNI,https://cdn-images.farfetch-contents.com/19/44/32/96/19443296_43377447_480.jpg,https://cdn-images.farfetch-contents.com/19/44/32/96/19443296_43378073_480.jpg,,$92,$92,92.0,92.0,USD,False,,,FiPGpJA9XW+0nL,
136,13637747,Black Peterson Original Sole Sneakers,12263,men,,NoTag,False,,70,/ge/shopping/men/maison-mihara-yasuhiro-black-peterson-original-sole-sneakers-item-13637747.aspx?storeid=12263,,Product,3766397,Maison Mihara Yasuhiro,https://cdn-images.farfetch-contents.com/13/63/77/47/13637747_34369853_480.jpg,https://cdn-images.farfetch-contents.com/13/63/77/47/13637747_34369855_480.jpg,,$549,$549,549.0,549.0,USD,False,,,FiPGpJA9XW+0nL,
137,15625936,"Air Jordan 4 ""Sail"" sneakers",11218,women,New Season,NewSeason,False,,14,/ge/shopping/women/jordan-air-jordan-4-sail-sneakers-item-15625936.aspx?storeid=11218,,Product,6687111,Jordan,https://cdn-images.farfetch-contents.com/15/62/59/36/15625936_28260496_480.jpg,https://cdn-images.farfetch-contents.com/15/62/59/36/15625936_28257569_480.jpg,,"$1,946","$1,946",1946.0,1946.0,USD,False,,,FiPGpJA9XW+0nL,
138,19582252,2017 pre-owned Grand Complications Tourbillon Minute Repeater Perpetual Calendar41mm,13792,unisex,,NoTag,False,"[{'scaleId': 14, 'size': 'One Size'}]",1,/ge/shopping/women/patek-philippe-2017-pre-owned-grand-complications-tourbillon-minute-repeater-perpetual-calendar41mm-item-19582252.aspx?storeid=13792,,Product,3543098,Patek Philippe,https://cdn-images.farfetch-contents.com/19/58/22/52/19582252_43641742_480.jpg,https://cdn-images.farfetch-contents.com/19/58/22/52/19582252_43641740_480.jpg,,"$936,250","$936,250",936250.0,936250.0,USD,False,,,FiPGpJA9XW+0nL,
139,17152207,Ami de Coeur T-shirt,10172,unisex,Conscious,NoTag,False,"[{'scaleId': 114, 'size': 'XXS'}, {'scaleId': 114, 'size': 'XS'}, {'scaleId': 114, 'size': 'S'}, {'scaleId': 114, 'size': 'M'}, {'scaleId': 114, 'size': 'L'}, {'scaleId': 114, 'size': 'XL'}, {'scaleId': 114, 'size': 'XXL'}, {'scaleId': 114, 'size': 'XXXL'}]",5811,/ge/shopping/women/ami-paris-ami-de-coeur-t-shirt-item-17152207.aspx?storeid=10172,,Product,228660,AMI Paris,https://cdn-images.farfetch-contents.com/17/15/22/07/17152207_35371796_480.jpg,https://cdn-images.farfetch-contents.com/17/15/22/07/17152207_35221727_480.jpg,,$110,$110,110.0,110.0,USD,False,,,FiPGpJA9XW+0nL,
140,19595067,Ami De Coeur crew-neck jumper,11935,unisex,New Season,NewSeason,False,"[{'scaleId': 114, 'size': 'XS'}, {'scaleId': 114, 'size': 'S'}, {'scaleId': 114, 'size': 'L'}, {'scaleId': 114, 'size': 'XL'}]",127,/ge/shopping/women/ami-paris-ami-de-coeur-crew-neck-jumper-item-19595067.aspx?storeid=11935,,Product,228660,AMI Paris,https://cdn-images.farfetch-contents.com/19/59/50/67/19595067_43856822_480.jpg,https://cdn-images.farfetch-contents.com/19/59/50/67/19595067_43860571_480.jpg,,$440,$440,440.0,440.0,USD,False,,,FiPGpJA9XW+0nL,
141,18689746,Autry 01 low-top sneakers ,9453,women,,NoTag,False,,1103,/ge/shopping/women/autry-autry-01-low-top-sneakers-item-18689746.aspx?storeid=9453,,Product,15615986,Autry,https://cdn-images.farfetch-contents.com/18/68/97/46/18689746_40543523_480.jpg,https://cdn-images.farfetch-contents.com/18/68/97/46/18689746_40545807_480.jpg,,$177,$177,177.0,177.0,USD,False,,,FiPGpJA9XW+0nL,
